S000350094	ORF	Verified	YDL204W-A			chromosome 4		4	94133	94285	W		2024-05-28	2024-05-28	Protein of unknown function, translated but not conserved; translation inhibition causes strong growth phenotypes
S000350094	CDS					YDL204W-A		4	94133	94285	W		2024-05-28	2024-05-28	
S000350095	ORF	Verified	YFR035W-A			chromosome 6		6	226260	226550	W		2024-05-28	2024-05-28	Protein of unknown function; added to genome annotation based on evolutionary, translation, and proteomics evidence
S000350095	CDS					YFR035W-A		6	226260	226550	W		2024-05-28	2024-05-28	
S000001326	ORF	Verified	YIL064W	EFM4	SEE1	chromosome 9		9	242027	242716	W		2024-05-28	2024-05-28	Lysine methyltransferase; involved in the dimethylation of eEF1A (Tef1p/Tef2p) at lysine 316; sequence similarity to S-adenosylmethionine-dependent methyltransferases of the seven beta-strand family; role in vesicular transport
S000001326	CDS					YIL064W		9	242027	242716	W		2024-05-28	2024-05-28	
S000350096	ORF	Verified	YGR016C-A			chromosome 7		7	523353	523246	C		2024-05-28	2024-05-28	Endoplasmic reticulum protein of unknown function; deletion confers resistance to fluconazole and to osmotic stress
S000350096	CDS					YGR016C-A		7	523353	523246	C		2024-05-28	2024-05-28	
S000077388	ARS		ARS516		ARSV-354	chromosome 5		5	353578	353636	W		2014-11-18	2014-11-18	Autonomously Replicating Sequence
S000077388	ARS_consensus_sequence					ARS516		5	353582	353598	W		2014-11-18	2014-11-18	
S000001097	ORF	Verified	YHR055C	CUP1-2	CUP1|metallothionein CUP1-2	chromosome 8		8	214718	214533	C		2011-02-03	1996-07-31	Metallothionein; binds copper and mediates resistance to high concentrations of copper and cadmium; locus is variably amplified in different strains, with two copies, CUP1-1 and CUP1-2, in the genomic sequence reference strain S288C; CUP1-2 has a paralog, CUP1-1, that arose from a segmental duplication
S000001097	CDS					YHR055C		8	214718	214533	C		2011-02-03	1996-07-31	
S000007117	long terminal repeat		YMRCtau1			chromosome 13		13	290224	290049	C		2011-02-03	2000-05-19	Ty4 LTR
S000007234	ORF	Verified	YDR034W-B	CPP3	cysteine-rich palmitoylated domain-containing protein CPP3	chromosome 4		4	521314	521469	W		2011-02-03	1999-07-17	Tail-anchored plasma membrane (PM) protein; C-terminal palmitoylation is required for membrane anchoring and protein stability; PM localization is polarized to the daughter cell; also localizes to the vacuolar membrane; may be involved in response to stress; upregulated by toxic concentrations of heavy metal ions and alkali; contains a conserved cysteine rich palmitoylated domain (CYSPD, aka CYSTM); CPP3 has a paralog, MNC1, that arose from the whole genome duplication
S000007234	CDS					YDR034W-B		4	521314	521469	W		2011-02-03	1999-07-17	
S000028593	ORF	Verified	YAL067W-A			chromosome 1		1	2480	2707	W		2003-07-29	2003-07-29	Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000028593	CDS					YAL067W-A		1	2480	2707	W		2003-07-29	2003-07-29	
S000345037	ncRNA gene		YNCC0015W	SUT035		chromosome 3		3	205766	205942	W		2023-08-23	2023-08-23	Stable Unannotated Transcript functional ncRNA; acts in trans to regulate gene expression by modulating transcription factors 
S000345037	noncoding_exon					YNCC0015W		3	205766	205942	W		2023-08-23	2023-08-23	
S000006431	ORF	Uncharacterized	YOR008C-A			chromosome 15	L000003931	15	343081	342857	C		2011-02-03	1999-07-17	Putative protein of unknown function; includes a potential transmembrane domain; deletion results in slightly lengthened telomeres; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively
S000006431	CDS					YOR008C-A		15	343081	342857	C		2011-02-03	1999-07-17	
S000007257	ORF	Dubious	Q0010		ORF6	chromosome 17	L000004921	17	3952	4338	W		2000-05-19	2000-05-19	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017
S000007257	CDS					Q0010		17	3952	4338	W		2000-05-19	2000-05-19	
S000007258	ORF	Dubious	Q0017		ORF7	chromosome 17	L000004922	17	4254	4415	W		2000-05-19	2000-05-19	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010
S000007258	CDS					Q0017		17	4254	4415	W		2000-05-19	2000-05-19	
S000007259	ORF	Dubious	Q0032		ORF8	chromosome 17	L000004923	17	11667	11957	W		2000-05-19	2000-05-19	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000007259	CDS					Q0032		17	11667	11957	W		2000-05-19	2000-05-19	
S000007260	ORF	Verified	Q0045	COX1	cytochrome c oxidase subunit 1|OXI3	chromosome 17	L000000383|L000001321|L000004924	17	13818	26701	W		2000-05-19	2000-05-19	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; number of introns in different strains varies from 2 to 8, with most strains having 4-6 introns
S000007260	CDS					Q0045		17	25318	25342	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	21995	22246	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	20508	20984	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	23612	23746	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	18954	18991	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	26229	26701	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	16435	16470	W		2000-05-19	2000-05-19	
S000007260	CDS					Q0045		17	13818	13986	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	22247	23611	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	16471	18953	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	18992	20507	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	25343	26228	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	20985	21994	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	23747	25317	W		2000-05-19	2000-05-19	
S000007260	intron					Q0045		17	13987	16434	W		2000-05-19	2000-05-19	
S000006965	long terminal repeat		YGRWdelta11			chromosome 7		7	535211	535542	W		2011-02-03	2000-05-19	Ty1 LTR
S000006969	long terminal repeat		YGRWdelta21			chromosome 7		7	735542	735872	W		2011-02-03	2000-05-19	Ty1 LTR
S000028594	ORF	Dubious	YAL068W-A			chromosome 1		1	538	792	W		2003-07-29	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000028594	CDS					YAL068W-A		1	538	792	W		2003-07-29	2003-07-29	
